Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total,,
28.4033,23.9561,534.4105,162.058,812.0642,1256.1024,,,
43.4401,15.7628,537.7907,22.1996,966.3973,1253.5174,,,
30.9463,21.2783,517.1714,130.3658,2082.3564,1266.4729,,,
40.647,11.8589,378.583,143.2794,1307.6163,1263.4593,,,
166.6797,53.2142,6966.2655,56.7647,126.8527,1364.2391,,,
27.5141,14.3126,309.2888,106.8934,699.5066,1263.9506,,,
22.9844,17.7138,319.7674,130.4278,673.1692,1265.8618,,,
70.9631,32.5926,1816.5224,81.8239,1126.7011,1296.2769,,,
36.0428,23.6787,670.2948,86.0998,1576.8774,1275.2027,,,
29.8664,18.6612,437.7366,9.2172,57.3931,1278.5205,,,
58.6491,34.7466,1600.5273,59.3405,1945.7313,1299.3504,,,
41.1697,22.8521,738.9129,103.0513,1066.6993,1295.0946,,,
27.9005,23.925,524.2699,105.939,593.4834,1290.6379,,,
30.1991,15.7764,374.1888,156.9953,887.7652,1287.1423,,,
